group_id,classification,risk,id,hos,system_id,thing_id,thing_token_present,has_real_data,last_seen,decision,confidence,reason
HOS154|S08,DUPLICATE_INACTIVE,LOW,HOS154-2,HOS154,S08,ybTD-W40bmkPxauaWOSsMmigFWUu22UCtoEU7IgVNdE,True,True,2026-06-08T12:32:59.273Z,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS154|S08,DUPLICATE_INACTIVE,LOW,HOS154-1,HOS154,S08,nlFit6fpl03xn7RjJPvv1wUn8ivHw7T5GiSkyyoA5RE,True,True,2026-06-08T12:32:59.056Z,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS154|S08,DUPLICATE_INACTIVE,LOW,HOS154-S08-01,HOS154,S08,5ow0MbxGfNUBBdoM-hapss4VVWqqgukWlZbOINEatOo,True,False,,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS154|S08,DUPLICATE_INACTIVE,LOW,HOS154-S08-02,HOS154,S08,-Ks1zVcjaPFWSG5Vj7zeg4zKjMlCNFzy413nvOLqLGY,True,False,,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS045|S08,DUPLICATE_INACTIVE,LOW,HOS045-2,HOS045,S08,D58itDsvYgTH94kCNCJNnTHJJT-soMZb_uTz9QH_ZfU,True,True,2026-06-08T12:32:54.325Z,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS045|S08,DUPLICATE_INACTIVE,LOW,HOS045-1,HOS045,S08,omS3t5Ie3UWZ0eg2ORr3arqemDPJWvL4g8AiBUdFbz4,True,True,2026-06-08T12:32:54.255Z,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS045|S08,DUPLICATE_INACTIVE,LOW,HOS045-S08-02,HOS045,S08,mHxrx6Hk-JzdQkD8PqZuhvGQccSVJvnxk3Ne6yHFjDY,True,False,,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS045|S08,DUPLICATE_INACTIVE,LOW,HOS045-S08-01,HOS045,S08,_HqnWZbjjFHt4MLV89e53JRTfj_9xXwdUJ325RhJnlw,True,False,,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS150|S08,DUPLICATE_INACTIVE,LOW,HOS150-2,HOS150,S08,CsOhe-HGtmi0eUoP5hRdEzl10evuNh8vjBh2KBiCtUk,True,True,2026-06-08T12:31:51.393Z,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS150|S08,DUPLICATE_INACTIVE,LOW,HOS150-1,HOS150,S08,iqpFo_Cka0UI1QyD862peBsyUOCU_jHJltrPNQWVV7c,True,True,2026-06-08T12:31:51.321Z,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS150|S08,DUPLICATE_INACTIVE,LOW,HOS150-S08-01,HOS150,S08,8XoR6ApnVZVbrnRigC-qlLfA-eJJwN6X_zgfP09yuIA,True,False,,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS150|S08,DUPLICATE_INACTIVE,LOW,HOS150-S08-02,HOS150,S08,IR2pzKsf0RvZeaDoApfjOoFOgwJRl8uaJd01xayZxUg,True,False,,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS143|S08,DUPLICATE_INACTIVE,LOW,HOS143-2,HOS143,S08,0Y_zA5SFgkmgabKVJQAB3gXQiLtxy97zjhhE_s-CuCM,True,True,2026-06-08T12:31:44.435Z,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS143|S08,DUPLICATE_INACTIVE,LOW,HOS143-1,HOS143,S08,x8c309MsxOYKN6irFo_53FRQueqHHnS6lJuod-sJ1Rw,True,True,2026-06-08T12:31:44.263Z,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS143|S08,DUPLICATE_INACTIVE,LOW,HOS143-S08-01,HOS143,S08,LqvkEcKumjfTRnSI0Pxnksq2N5nRCxR-I332XTmcFvc,True,False,,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS143|S08,DUPLICATE_INACTIVE,LOW,HOS143-S08-02,HOS143,S08,hlvg2MQ86LUwqpn1mcJEHtZ0dUrxlZL0nrLLQC_WrIM,True,False,,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS041|S08,DUPLICATE_INACTIVE,LOW,HOS041-2,HOS041,S08,54WG9VyFVLbemxJ8P8h3de3zgA6i0WDMJxFuyNBLJKM,True,True,2026-06-08T12:31:32.333Z,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS041|S08,DUPLICATE_INACTIVE,LOW,HOS041,HOS041,S08,TlRJtyhgPzypbmzl9JjCqRBxIiIGIaNDrTzFJp64iFk,True,True,2026-06-08T12:31:32.321Z,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
